Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
Aave,AAVE,2020-10-05,55.11235847,49.78789992,52.67503496,53.21924296,0.0,89128128.86084658
Aave,AAVE,2020-10-06,53.40227002,40.73457791,53.29196931,42.40159861,583091.4597628,71011441.25451232
Aave,AAVE,2020-10-07,42.40831364,35.97068975,42.39994711,40.08397561,682834.18632335,67130036.89981823
Aave,AAVE,2020-10-08,44.90251114,36.69605677,39.88526234,43.76446306,1658816.92260445,220265142.10956785
Aave,AAVE,2020-10-09,47.56953274,43.2917758,43.76446306,46.81774415,815537.6607835,235632208.16269895
Aave,AAVE,2020-10-10,51.4056548,46.70332768,46.81814554,49.13371767,1074627.02770495,247288428.7561697
Aave,AAVE,2020-10-11,51.45337431,48.71603954,49.13312951,49.66072573,692150.60094118,249940843.43242228
Aave,AAVE,2020-10-12,54.42141763,48.75407708,49.66157329,52.23869222,1354836.06481028,262915666.29307267
Aave,AAVE,2020-10-13,57.48190422,49.59873521,52.23839242,51.12431679,1386221.2066711,257307050.4308017
Aave,AAVE,2020-10-14,57.85394649,49.62952942,51.37289869,51.31651791,3132405.42216768,258274392.50811112
Aave,AAVE,2020-10-15,52.08068541,44.01832531,51.38760962,44.01918294,5883146.06280652,221547139.10727772
Aave,AAVE,2020-10-16,43.90673033,39.14295677,42.89060653,39.49584426,52855204.93631293,365071463.27992666
Aave,AAVE,2020-10-17,43.07737327,38.63361292,39.48619161,41.36699325,43339687.2478275,382367032.26402897
Aave,AAVE,2020-10-18,41.7494876,39.53158618,41.38959771,40.74697166,40441163.45662788,376635994.1363743
Aave,AAVE,2020-10-19,40.9951837,35.95136399,40.83675675,36.01231739,49289896.51123791,332872221.1838187
Aave,AAVE,2020-10-20,36.31907005,32.1010995,36.04378522,32.18001748,60632325.59383004,297449169.45201
Aave,AAVE,2020-10-21,37.07820274,32.04814912,32.25348971,35.16035652,43831234.96273086,324997301.45456576
Aave,AAVE,2020-10-22,39.85692062,33.58946348,35.09748742,38.03165056,54717366.37734977,402396251.49084926
Aave,AAVE,2020-10-23,42.54665591,36.92467124,37.73059438,41.68663736,76081859.91147137,445257057.9715303
